a	オングストローム
shoulder	ショルダー|肩口|肩部|肩先|肩|肩で押しのける|肩で押す
vinyl	ビニル基|ビニル
statute	律令|成文法|法律|法令
discharge	放出|為し遂げる|やり遂げる|成しとげる|果たす|貫徹|為しとげる|為果せる|し果せる|履行|遣り遂げる
fetish	呪物|お守り|咒物|物神
intervention	取成|取り成し|執成し|仲裁|仲立|取成し|執り成し|介在|取りなし|斡旋
blade	葉|葉身
asp	アスプ鎖蛇|エジプトコブラ
aviation	空軍力
strap	縛る|括る
brush	茂り|繁り|雑木林|薮|茂み|藪|叢林|棘|繁み|ブラッシング
subsection	小区分|小部分|下位区分
bestiality	獣姦|獣姦
pine	松|マツ科|マツ
defendant	嫌疑者|容疑|容疑者|刑事被告人|被疑者|被告|被告人
anthony	マルクス・アントニウス|スーザン・b・アンソニー
ridge	隆起線
usual	通塗|通途|普通
shore	岸べ|沿岸|岸辺|岸|支う|突っ支う|突っかう|支える
nail	爪甲|生づめ|爪|生爪|ネール|金釘|釘|くぎ付ける|釘づけ|釘づける|釘付ける|釘付け|釘付
blackjack	ブラックジャック|海賊旗|ブラックジャック
valve	弁
publish	公刊|発表|記載|公示|掲載|公表|掲げる
ill	疾病|病|疾患|病気|慢性的な軽い病気|不完全に|不満足に|不十分|不健全|不健康|病弱
reliability	頼り甲斐|信頼度|確かさ|慥かさ|信憑性|信頼性|頼もしさ
devil	魔王|デヴィル|魔神|デビル|ベルゼブル|サタン|逆撫でる|悩ます|苛だてる|煩わす|苛立てる|焦らせる|焦らす|煩わせる|いら立てる
dangerous	危ない|剣呑|やばい|危険|危い|危うい|物騒
citation	感状|表彰|賞状|表彰状
alter	入換える|手直し|変換える|修正|入れ換える|変更|模様替|改む|換える|異ならす
divorce	離婚|離縁|夫婦別れ|夫婦別|破婚|不縁|離別|離縁|別れる|縁切り|離別
unfortunately	折り悪しく|折り悪く|残念ながら|運悪く|折悪しく|あいにく|生憎
grill	焼く
motel	モテル|モーテル
parliament	議会|パーラメント|国会
dad	パパ|お父ちゃん|父っつぁん|ちゃん|父ちゃん
blend	交ぜ合わせる|交ぜあわせる|ブレンド|雑える|雑ぜる|入合せる|ミックス|取り交ぜる|混ぜる|雑ぜ合わせる
semi	準決勝|セミファイナル|トレーラー|トラクタトラック|リグ|トレーラー連結車
luck	巡り合わせ|定め事|巡合|宿命|回り合せ|仕合わせ|宿因|天意|回合わせ|倖
columbus	コロンバス|オハイオの州都
beast	四つ脚|毛の荒物|獣畜|4つ脚|アニマル|4つ足|生物|動物|生き物|獣
nv	ネバダ
postage	切手|郵便切手
ward	被後見人|看守|後見|防衛|護衛|警守|防護|守護|心くばり|視る|警衛
till	キャッシュボックス|耕す
undergraduate	学部在学生|学部生
engage	従事|関与
productivity	多産性|生産力のあること
comic	道化|道外|道化師|お笑い芸人|道外師|コメディアン|可笑しい|面白可笑しい|コミカル|おもろい|おもしろい|おかしい|滑稽|おもしい|面白おかしい|面白い
assure	請合う|保する|請け合う|保証
underground	レジスタンス|サブウェー|地下鉄|地下鉄道|メトロ
carefully	熟々|倩ら|篤と|つらつら|つくづく|倩|とっくり|じっくり|慎重|心して
shoe	靴
fault	躓き|過誤|ミステーク|ちょんぼ|間違い|誤り|誤まり|謬り|間違え|疵瑕|批難|誹議|咎める|非議|難詰|責める|非難
pace	ペース|速度|歩み|歩度|ペイス|ゆっくり一定の歩調で歩く|一定の歩調で歩く|行ったり来たりする
deadline	〆切日|〆切|締切り日|締め切り|デッドライン|期日|期限|縛り|〆切り|締切
diagnosis	見たて|見立|診療|診断|見立て
principle	ルール|原理|原則|プリンシプル
talent	ジーニアス|天質|才能|才|天与の資|天賦|能才|素質|天才|資質
globe	世界|グローブ|地球
digest	編纂|編集|要訳|ダイジェスト|要約|編修|編輯|消化|消化
probe	詮索|吟味|検分|査問|査定|取調|吟味立|調査|検察|調|検視|吟味|取り調べる|検する|取調べる|とり調べる|調べる
differ	相異なる|違う|異なる|相違|食違う|異る|事変る|異にする|食い違う
combat	コンバット|武装戦闘|戦闘|戦い|交戦|闘う|争闘|争い戦う|戦闘|戦う|闘争|交戦
ken	眼界
tall	高やか|でかい|おっきい|高い|大きい|のっぽ|亭亭たる|背が高い|でっかい
grove	林|木立|木立ち
sleeve	スリーヴ|袖|羽袖|衣袂|捩り|スリーブ|衣手|袂
assess	鑑定|価値付ける|踏む|値踏み|品評|計測|査定|位置付|量る|位置付け
weak	弱い|もろい|やわ|脆い|脆弱
vessel	脈管|管|船舶|船|舟艇|舟|ウォータークラフト
reviewer	校閲者
brake	歯止め|ブレーキ|制動機|歯止め|歯止め
adopt	従う|追随|信奉
apart	別れ別れに|離れて
workplace	勤務場所|職場|勤め口|仕事場|勤め先
tan	日焼け|サンバーン|日焼|サンタン|狐|トパーズ|トパーズ色|トッパーズ|黄褐色|狐色
cottage	田舎家|在家|平家|平屋|小屋|宿小屋
prompt	プロンプト|プロンプテイング|コマンドプロンプト|プロンプト|手っ取り早い|迅速|動機付ける|動機づける|動かす|促す
illustration	挿し画|イラスト|挿し絵|小間絵|カット|挿図|さし画|駒絵|挿絵|挿画
familiar	常連|仲間|侶伴|同士|定連|人なつかしい|親しみ深い|親しい|親密|近い|近しい|別懇|身近い|気易い|身ぢか
christopher	クリストファー
vertical	垂直的|垂直方向|鉛直|垂直
bean	マメ|豆|荳|ビーン|菽|食用豆
dirty	穢らしい|汚い|不衛生|穢い|穢ならしい|不潔|穢ない|汚ない|汚らしい|汚ならしい|穢す|汚す
refinance	リファイナンス
strongly	強く|激しく
absolute	絶対|絶対的|完全無欠
bidder	入札者
wolf	狼|オオカミ|ウルフ
capable	できる|可能|能力のある
fluid	流体|流動体|不定|変化しやすい|流動的
ta	タンタル
substitute	掛替え|代品|サブスティテュート|代役|かけ替え|替え|替り|代員|代物|掛け替え|入換える|掏替える|入れ換える|釣替え|釣換え|釣り換え|繰換える|すげ替える|換える|挿替る
ethnic	民族的
referral	紹介|紹介
madison	マディソン|マディソン
pat	ポンという音|トントンという音|掻いなでる|かき撫でる|かい撫でる|掻撫でる|掻き撫でる|撫でる|撫で回す|撫する|撫でさする|掻い撫でる
walker	ペデストリアン|徒人|ツィンメル|歩行器
summit	絶頂|極致|頂|天上|最高点|最高|トップ|頂点|極点|絶頂|頂上|冠|天頂|頂|峰|頂き|山顛|嶺|山巓|主要先進国首脳会議|サミット|主脳会議|主脳会談|首脳会談|首脳会議|サミットミーティング
stroke	ストローク|ショット|打つこと|打球|撫でまわす|掻いなでる|摩する|かき撫でる|かい撫でる|擦る|掻撫でる|磨する|掻き撫でる|撫でる
scenario	筋書き
terrorism	テロリズム
progressive	不全|不充分|不十分|半過去|不完全|自由主義者|革新主義者|リベラリスト|進歩主義者|進歩的|進歩的|革新的
mainly	おおく|主|主として|あらかた|大方|おおかた|主に|おもに|大体|粗方
trap	罠|トラップ|羂|わな|身動きできなくさせる|陥れる|捕える|捕らえる
sick	病人|病者|不健全|不健康|病弱|吐瀉|吐く|吐出|嘔吐|嘔げる|上げる|吐きだす|吐出す|吐き出す|嘔吐く
sink	シンク|低まる|倒れる|くず折れる|沈む
jurisdiction	裁判管轄|司法権|裁判権
integrate	取り込む|綜合|統べる|組みこむ|組込む|組み込む|含める|組入れる|織りこむ|盛り込む
citizen	人民|本国人|国人|公民|市民|国民
skirt	逃げる|回避|逃れる|遁げる|逃がれる|避ける
acknowledge	肯定|白状|自認|是認|承認
structural	構造的
tough	あばれん坊|不良|暴れん坊|不良少年|ちんぴら|チンピラ|無頼漢|やくざ|あばれん坊|あらくれ者|フーリガン|乱破|暴ん坊|ならず者|凶漢|徒ら者|強靭|タフ|強硬|気丈夫|強剛
telecom	テレコミ|テレコム|テレコミュニケーション
warehouse	倉|庫|ウエアハウス|蔵|倉庫
portrait	描出|描写
pound	lb|英斤|听|ポンド|重量ポンド|パウンド|打ち叩く|ぶん殴る|打っ叩く|ぶっ叩く|打叩く|打ったたく
wayne	ジョン・ウェイン
planner	計画者|プランナー|立案者
twist	転回|急変|転変|転換|急転|謀略|いかさま|匠|権謀|企み|策|絡繰り|詐欺|策略|謀|身悶える|身を捩らす|捻転|身悶|身悶え|すじりもじる|悶える|ぬたくる|身を捩る|身もだえ
attract	引き付ける|手繰りよせる|引付る|手繰り寄せる|たぐり寄せる|繰り寄せる|引付ける|引きつける|引き寄せる|引寄せる
trim	トリミング|装飾|剪裁|剪定|切り調える|刈込む|トリミング|刈り込む|整枝|刈りこむ
hunt	ハント|ハント|ハント|漁り|捜査|探索|捜索|探求|ハント|狩猟|狩|狩り|猟|ハンティング|遊猟|狩猟|狩|狩り|猟|狩り出す|遊猟|狩猟|狩り立てる|猟する|狩りだす|狩る
ease	平易|そっと動かす|慎重に動かす|和らげる|緩和
trend	動向|トレンド|流|趨向|流れ|趨勢|潮流|大局|急に向きを変える
dust	塵埃|微塵|埃|砂ぼこり|砂塵|風塵|ダスト|土埃|ほこり
busty	肉体的
tropical	熱帯性
worker	サラリーマン|就業者|労働者|働く人|アルバイト|勤労者|ワーカー|働き手|労動者
purple	紫
alive	生きている
assumption	前提
singer	ボーカリスト|歌い手|歌手|シンガー|ヴォーカリスト|歌うたい|歌歌い|声楽家
automobile	四輪車|オートモービル|車|乗用車|自動車|オートモビル|モーターカー
harris	ジョーエル・チャンドラー・ハリス|ゼリグ・ハリス|タウンゼント・ハリス|フランク・ハリス
vocal	唱歌|歌唱|唄|楽曲|歌謡曲|歌謡|曲|歌|ソング|歌曲|打ち付け|不遠慮|無遠慮|諤々|明けっ放し|諤諤|開けっ放し
strengthen	強める|増強|強化
toyota	豊田
arcade	アーケード|吹き抜け|アーケード|柱廊
existence	存在
tiffany	ティファニー
mayor	町長|市長
syntax	句構造|構文
socket	ソケット
ceo	最高執行責任者
antenna	アンテナ|空中線
nationwide	全国的|全国的
definitely	聢と|疑いなく|正に|必ずや|定めし|必定|きっと|ぜひ|かならず|誓って
wizard	流行っ子|ぴか一|ウィザード|花形|明星|達者|チャンピョン|スーパースター|王者|流行っ児|魔法的
immigration	入植|イミグレーション|移住|イミグレイション
mutual	共通
hack	打ちきる|ぶっ切る|打切る|打っ切る|打ち切る|打ち割る|打た切る|叩切る|たたき切る|ぶった切る
sierra	鋸
quest	探究|探求|探求|探求|探求|探求|要求|要望|頼む|求める|願う|リクエスト|求む|所望
habitat	ホームグランド|地元|生息地|ホームグラウンド
fraud	騙り|詐欺|詐取
necessarily	やむを得ず|余業なく|已むを得ず|止むを得ず|余儀なく|余儀無く|必要|須らく|余業無く
depression	鬱|気鬱症|意気銷沈|抑欝症|欝病|意気消沈|幽鬱|うつ病|沈欝|鬱気
architect	設計者|デザイナー|建築家|アーキテクト
everyday	有内|平坦|有りふれた|平凡|日常的|平々凡々たる|有り触れた|有り内|平平凡凡たる
apparently	一見|見かけ上
popularity	人望|ポピュラリティー|一般受け|英名|人気|衆望|受けが良いこと|信望|人受け|流行
dozen	ダース|十二|12の|12個の|1ダースの|十二の|12人の
satisfy	充す|満足|満たす|満す|充足|充たす|応える
headset	ヘッドセット
absence	不在
interval	隔たり|間隔|間|期間|時間
visible	見ることができる|目に見える
solo	単独行動|つくねんと|単独|独り|一人|ぽつり|ひとりぼっちで|ぽっつり
sue	告訴|訴人|訴える
invest	投入|投下|投資|投じる
obviously	歴然|然も|歴歴|明白|歴々|見るから|現然|正しく|如何にも|見るからに
moderate	中道主義者|中位|中庸|程好い|適当|程良い|適度|中程度|中ぐらい|連れる|率いる|導く|誘導|リード|先立つ|緩和
mercury	Hg|マーキュリー|クイックシルバー|水銀
perfume	薫香|フレーグランス|芳しさ|芳芬|蘭麝|馨しさ|芳ばしさ|薫り|フレグランス|香気|香水|精油|エッセンス|パフューム|香料
arise	発出|生起|起きる|起る|発生|起こる
privilege	特恵|権利|特典|特権
reproduction	蕃殖|繁殖|増殖|生殖
shake	屋根板|ミルクセーキ|ミルクシェーク|トリル|握手|ハンドシェーク|身震|身振|寒気|寒け|悪寒|震え|身震い|震い|身振い|身ぶるい|揺する|揺らぐ|ぐらぐらする|震わす|揺すぶる|打震わす|ゆする|揺りうごかす|揺ぐ|揺すれる
excerpt	抜萃|書き抜き|手抄|鈔録|抜写し|抄|抜枠|抜粋|抜き写し|書抜
ron	論
radar	レーダ|電波探知機|電探|レーダー|マイクロ波レーダー|電波探知器
clinton	クリントン|クリントン|ビルクリントン|クリントン|クリントン
beam	信号電波|電波ビーム|無線ビーム|梁|ビーム|笑む|にこにこする|にこつく
palace	殿|ご殿|御館|殿舎|お屋形|館|御殿|御屋形
organize	オーガナイズ|もうける|設立|形成|組織|オルガナイズ|組む|設ける
somewhat	些さか|聊か|少々|少し|心なしか|稍|小々|こころもち|心做しか|些と
emphasis	ウエイト|ウェイト|アクセント|ウエート
substantial	大きな|かなり|大した
russell	ラッセル|ラッセル|ラッセル|ラッセル|ラッセル|ラッセル|ラッセル
enhancement	加糖
impossible	不可能|駄目|有り得ない|不能|インポッシブル|不可能|無理
